code,model,epoch,seed,learning_rate,batch_size,hidden_layers,use_mixed_precision
20251003_195303,,10,42,0.01,64,"[128, 64]",True
20251003_195349,,10,42,0.01,64,"[128, 64]",True
20251003_195444,,10,42,0.01,64,"[128, 64]",True
20251007_151019,,10,42,0.01,64,"[128, 64]",True
20251007_151243,,30,42,0.01,64,"[128, 64]",True
20251007_151623,,30,42,0.0001,64,"[128, 64]",True
20251007_153019,,30,42,0.0001,64,"[128, 64]",True
20251007_154225,,30,42,0.0001,64,"[128, 64]",True
20251007_155526,,10,42,0.0001,64,"[128, 64]",True
20251007_155627,,10,42,0.0001,64,"[128, 64]",True
20251007_160007,,10,42,0.0001,64,"[128, 64]",True
20251007_160225,,30,42,1e-05,64,"[128, 64]",True
20251007_160444,,30,42,0.01,64,"[128, 64]",True
